Function,Generated,Ground Truth
"@frappe.whitelist() 
 def setup_complete(args): 
    if cint(frappe.db.get_single_value(u'System   Settings', u'setup_complete')): 
      return 
   args = process_args(args) 
   try: 
      if (args.language and (args.language != u'english')): 
         set_default_language(get_language_code(args.lang)) 
      frappe.clear_cache() 
      update_system_settings(args) 
      update_user_name(args) 
      for method in frappe.get_hooks(u'setup_wizard_complete'): 
         frappe.get_attr(method)(args) 
      disable_future_access() 
      frappe.db.commit() 
      frappe.clear_cache() 
   except: 
      frappe.db.rollback() 
      if args: 
         traceback = frappe.get_traceback() 
         for hook in frappe.get_hooks(u'setup_wizard_exception'): 
            frappe.get_attr(hook)(traceback, args) 
      raise 
   else: 
      for hook in frappe.get_hooks(u'setup_wizard_success'): 
         frappe.get_attr(hook)(args)"," 'Setup complete function. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed. 
 This function is called after the setup is completed","'Calls hooks for `setup_wizard_complete`, sets home page as `desktop` 
 and clears cache. If wizard breaks, calls `setup_wizard_exception` hook'"
"def main(): 
    module = AnsibleModule(argument_spec=ClcGroup._define_module_argument_spec(), supports_check_mode=True) 
   clc_group = ClcGroup(module) 
   clc_group.process_request()", 'Ansible module to manage ClcGroup objects.',"'The main function.  Instantiates the module and calls process_request. 
 :return: none'"
"def __guess_dataset_by_filename(filename): 
    try: 
      fields = os.path.split(filename) 
      if fields: 
         if (fields[(-1)].startswith('dataset_') and fields[(-1)].endswith('.dat')): 
            return Dataset.get(int(fields[(-1)][len('dataset_'):(- len('.dat'))])) 
   except: 
      pass 
   return None"," 'Attempt to guess the dataset from the filename. 
 Parameters 
 filename : str 
 The filename to guess the dataset from. 
 Returns 
 Dataset 
 The dataset, or None if the filename could not be guessed.'",'Return a guessed dataset by filename'
"def resolve_possible_pending_xrefs(app, fromdocname, maybe_xrefs): 
    result = [] 
   for node in maybe_xrefs: 
      if isinstance(node, addnodes.pending_xref): 
         result.extend(resolve_pending_xref(app, fromdocname, node.deepcopy())) 
      else: 
         result.append(node) 
   return result"," 'Resolve possible pending xrefs and return the result. 
 :param app: The app instance. 
 :param fromdocname: The name of the document that is being processed. 
 :param maybe_xrefs: The xref nodes to resolve. 
 :return: The resolved xref nodes. 
 :rtype: list'","'If any node is a pending_xref, attempt to resolve it. If it cannot be 
 resolved, replace it with its children.'"
"def prepare_to_run(): 
    (is_travis, non_pr) = check_environment() 
   if (not is_travis): 
      return 
   if (not non_pr): 
      print('Running   in   Travis   during   non-merge   to   master,   doing   nothing.') 
      sys.exit(0) 
   decrypt_keyfile()"," 'This is run on Travis CI, when the PR is not merged to master. 
 This will decrypt the keyfile and prepare for the next run. 
 This is needed because the keyfile is encrypted on Travis, 
 and the decrypted keyfile is needed to run the tests.'","'Prepare to run system tests. 
 If on Travis during a PR, exit the entire program; there is 
 no need to run the system tests. 
 If on Travis during a build for a non-PR merge to master, 
 decrypts stored keyfile.'"
"def test_download_exit_status_code_when_no_requirements(script): 
    result = script.pip('download', expect_error=True) 
   assert ('You   must   give   at   least   one   requirement   to   download' in result.stderr) 
   assert (result.returncode == ERROR)", 'Test that the script returns an error when no requirements are given','Test download exit status code when no requirements specified'
"def main(): 
    with open('../show_version.txt') as show_ver_file: 
      show_ver = show_ver_file.read() 
   print obtain_os_version(show_ver)"," 'Main entry point for the script. 
 :return: None 
 :rtype: None'","'Obtain the OS version from the show version output 
 Print output to STDOUT'"
"def _out(msg): 
    stdout.write(msg.encode('utf-8'))", 'Print to stdout','Output a string'
"@hook.command('bingimage', 'bis') 
 def bingimage(text, bot): 
    api_key = bot.config.get('api_keys', {}).get('bing_azure') 
   show_nsfw = text.endswith('   nsfw') 
   if show_nsfw: 
      text = text[:(-5)].strip().lower() 
   rating = (NSFW_FILTER if show_nsfw else DEFAULT_FILTER) 
   if (not api_key): 
      return 'Error:   No   Bing   Azure   API   details.' 
   params = {'Sources': bingify('image'), 'Query': bingify(text), 'Adult': bingify(rating), '$format': 'json'} 
   request = requests.get(API_URL, params=params, auth=(api_key, api_key)) 
   j = request.json()['d']['results'][0] 
   if (not j['Image']): 
      return 'No   results.' 
   result = random.choice(j['Image'][:10]) 
   tags = [] 
   tags.append('{}x{}px'.format(result['Width'], result['Height'])) 
   tags.append(result['ContentType']) 
   tags.append(filesize.size(int(result['FileSize']), system=filesize.alternative)) 
   if ('explicit' in result['Thumbnail']['MediaUrl']): 
      tags.append('NSFW') 
   tag_text = ',   '.join(tags) 
   return '{}   ({})'.format(unescape(result['MediaUrl']), tag_text)"," 'Searches Bing for an image, and returns the URL of the first image. 
 If the image is NSFW, it will be returned as a link. 
 .. versionadded:: 0.1'",'<query> - returns the first bing image search result for <query>'
"def create_option_values_for_optionable(optionable_type, **options): 
    if (not issubclass(optionable_type, Optionable)): 
      raise TypeError(u'The   given   `optionable_type`   was   not   a   subclass   of   `Optionable`:   {}'.format(optionable_type)) 
   option_values = {} 
   registration_function = _options_registration_function(option_values) 
   optionable_type.register_options(registration_function) 
   option_values.update(**options) 
   return create_option_values(option_values)"," 'Creates option values for an optionable. 
 :param optionable_type: A subclass of Optionable. 
 :param options: A dictionary of option values. 
 :returns: A dictionary of option values.'","'Create a fake OptionValueContainer with appropriate defaults for the given `Optionable` type."" 
 :param type optionable_type: An :class:`pants.option.optionable.Optionable` subclass. 
 :param **options: Keyword args representing option values explicitly set via the command line. 
 :returns: A fake `OptionValueContainer`, ie: the value returned from `get_options()`.'"
