Data,TrainDataSize,ModelType,Round,BaseModelName,TrainableParams,TargetModules,RankLoRAModule,StartTime,EndTime,NumberEpochs,EvalDataSize,C-BLEU,METEOR,ROUGE-L
code_docstring_corpus_data,26980,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,2024-01-15 10:32:35.606956,2024-01-15 11:55:34.269776,1,2000,0.023945791941405200,0.12264772722844700,"{'rouge-1': {'r': 0.20883404830247243, 'p': 0.18367866250408196, 'f': 0.16350534900813948}, 'rouge-2': {'r': 0.059079800529266015, 'p': 0.04821655549942608, 'f': 0.042862711890613775}, 'rouge-l': {'r': 0.19794524667893623, 'p': 0.17444899694283464, 'f': 0.1549065276066414}}"
NA,NA,FedAvg,0,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,NA,NA,1,2000,0.0026918225701556000,0.0391753325271885,"{'rouge-1': {'r': 0.09335698733841849, 'p': 0.06287937314785592, 'f': 0.061744164368287634}, 'rouge-2': {'r': 0.011066555653922557, 'p': 0.006793142169383177, 'f': 0.006318712773458601}, 'rouge-l': {'r': 0.08828267898399159, 'p': 0.05950604330318927, 'f': 0.05831358549292205}}"
code_docstring_corpus_data,26980,FedAvg,1,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-15 15:32:13.378505', '2024-09-15 16:10:07.557313', '2024-09-15 16:26:08.650734']","['2024-09-15 16:09:42.116482', '2024-09-15 16:25:43.814421', '2024-09-15 18:05:15.758890']",1,2000,0.033965700486848800,0.16076663424513200,"{'rouge-1': {'r': 0.2639591121156745, 'p': 0.27782385863256936, 'f': 0.2328766398097912}, 'rouge-2': {'r': 0.07845795219425328, 'p': 0.07635566183404824, 'f': 0.06368257087183113}, 'rouge-l': {'r': 0.25009506230567846, 'p': 0.2628264107899461, 'f': 0.220140977093685}}"
code_docstring_corpus_data,26980,FedAvg,2,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-15 19:36:19.859765', '2024-09-15 20:14:07.124036', '2024-09-15 20:30:01.720502']","['2024-09-15 20:13:48.316891', '2024-09-15 20:29:43.118270', '2024-09-15 22:09:08.366552']",1,2000,0.0382240465189364,0.16793124622984600,"{'rouge-1': {'r': 0.27242877122358716, 'p': 0.2890702131670798, 'f': 0.24279453005640148}, 'rouge-2': {'r': 0.08460651573901759, 'p': 0.08598918277515159, 'f': 0.07108640536381404}, 'rouge-l': {'r': 0.25922900236465063, 'p': 0.274200473197563, 'f': 0.23041806921306723}}"
code_docstring_corpus_data,26980,FedAvg,3,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-15 23:38:06.870905', '2024-09-16 00:15:54.520017', '2024-09-16 00:31:49.682657']","['2024-09-16 00:15:35.604770', '2024-09-16 00:31:30.804085', '2024-09-16 02:10:54.722202']",1,2000,0.03811105101339470,0.16639565077950500,"{'rouge-1': {'r': 0.27132103118693146, 'p': 0.2849680487030487, 'f': 0.23888732620908265}, 'rouge-2': {'r': 0.08293221646348103, 'p': 0.08349907703992254, 'f': 0.06878897864601283}, 'rouge-l': {'r': 0.25784567446681156, 'p': 0.269901379924758, 'f': 0.2265138602053539}}"
code_docstring_corpus_data,26980,FedAvg,4,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-16 03:38:00.247891', '2024-09-16 04:15:47.915799', '2024-09-16 04:31:43.588585']","['2024-09-16 04:15:29.139851', '2024-09-16 04:31:24.300407', '2024-09-16 06:10:51.836967']",1,2000,0.040140730743815400,0.16340992364922300,"{'rouge-1': {'r': 0.2668092426447285, 'p': 0.2839052914201458, 'f': 0.23720949302775762}, 'rouge-2': {'r': 0.08207418313023886, 'p': 0.08205680615582256, 'f': 0.06756883067779133}, 'rouge-l': {'r': 0.25399033504757373, 'p': 0.26938153340755855, 'f': 0.22513297877264749}}"
code_docstring_corpus_data,26980,FedAvg,5,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-16 07:35:52.984323', '2024-09-16 08:13:41.620306', '2024-09-16 08:29:36.401603']","['2024-09-16 08:13:21.839735', '2024-09-16 08:29:17.853587', '2024-09-16 10:08:43.614308']",1,2000,0.038655034839946600,0.16692551066934100,"{'rouge-1': {'r': 0.27105699991653026, 'p': 0.2880345661916434, 'f': 0.24034515819432214}, 'rouge-2': {'r': 0.08609830773513906, 'p': 0.08553414442028043, 'f': 0.0712224534606132}, 'rouge-l': {'r': 0.25697796528522815, 'p': 0.27246953512457994, 'f': 0.2272607161242126}}"
code_docstring_corpus_data,26980,FedAvg,6,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-16 11:31:31.460803', '2024-09-16 12:09:19.671894', '2024-09-16 12:25:15.380566']","['2024-09-16 12:09:00.052640', '2024-09-16 12:24:56.150814', '2024-09-16 14:04:23.078282']",1,2000,0.03976047675255370,0.16741497650977500,"{'rouge-1': {'r': 0.2695417801677804, 'p': 0.2876192401082055, 'f': 0.2416196264951214}, 'rouge-2': {'r': 0.08214805334069246, 'p': 0.08233993406696677, 'f': 0.06840971781683226}, 'rouge-l': {'r': 0.2554830958544772, 'p': 0.2722929060167865, 'f': 0.22863254256526813}}"
code_docstring_corpus_data,26980,FedAvg,7,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-16 15:26:51.910679', '2024-09-16 16:04:40.486478', '2024-09-16 16:20:35.567913']","['2024-09-16 16:04:20.706820', '2024-09-16 16:20:16.396244', '2024-09-16 17:59:44.496357']",1,2000,0.039462454678711100,0.16572328738987800,"{'rouge-1': {'r': 0.26924147333949877, 'p': 0.28574827845327255, 'f': 0.23870235933061187}, 'rouge-2': {'r': 0.08376745833712543, 'p': 0.0847841419206052, 'f': 0.07069882130271979}, 'rouge-l': {'r': 0.2556312092631754, 'p': 0.27058567405321166, 'f': 0.22618916464441194}}"
code_docstring_corpus_data,26980,FedAvg,8,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-16 19:24:00.624741', '2024-09-16 20:01:48.172690', '2024-09-16 20:17:43.376283']","['2024-09-16 20:01:30.102822', '2024-09-16 20:17:24.988091', '2024-09-16 21:56:51.794557']",1,2000,0.040825561692535800,0.1656448070256560,"{'rouge-1': {'r': 0.2680531132179123, 'p': 0.28773273949042816, 'f': 0.2402517813206465}, 'rouge-2': {'r': 0.0845786946627937, 'p': 0.08740052638555813, 'f': 0.0716921593800203}, 'rouge-l': {'r': 0.25467518266995937, 'p': 0.2720412396112979, 'f': 0.22749205290351446}}"
code_docstring_corpus_data,26980,FedAvg,9,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-16 23:20:46.580073', '2024-09-16 23:58:35.167833', '2024-09-17 00:14:30.271074']","['2024-09-16 23:58:15.438498', '2024-09-17 00:14:11.922797', '2024-09-17 01:53:39.683094']",1,2000,0.037913249909085700,0.16752519332547100,"{'rouge-1': {'r': 0.26866020501019827, 'p': 0.2922446521774311, 'f': 0.24233966464952797}, 'rouge-2': {'r': 0.08179713061257962, 'p': 0.08630990072776712, 'f': 0.07027130008059695}, 'rouge-l': {'r': 0.2547605832926039, 'p': 0.2766331689768578, 'f': 0.22942303765289784}}"
