Data,TrainDataSize,ModelType,Round,BaseModelName,TrainableParams,TargetModules,RankLoRAModule,StartTime,EndTime,NumberEpochs,EvalDataSize,C-BLEU,METEOR,ROUGE-L
code_docstring_corpus_data,26980,Central,NA,codellama/CodeLlama-7b-Instruct-hf,"Train parameters: trainable params: 4,194,304 || all params: 6,742,740,992 || trainable%: 0.06220473254091146","['o_proj', 'k_proj']",8,2024-01-31 13:23:27.396335,2024-01-31 16:36:23.228614,1,2000,0.0491838695221203,0.17221782704114466,"{'rouge-1': {'r': 0.2624861479593782, 'p': 0.3344399237170881, 'f': 0.25435695000658015}, 'rouge-2': {'r': 0.09129767797870668, 'p': 0.11207086771749528, 'f': 0.08528536465753703}, 'rouge-l': {'r': 0.248642612965943, 'p': 0.31711618800021274, 'f': 0.24075607406295013}}"
NA,NA,FedAvg,0,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 4,194,304 || all params: 6,742,740,992 || trainable%: 0.06220473254091146
","['o_proj', 'k_proj']",8,NA,NA,1,2000,0.019037618004693894,0.11715166671487288,"{'rouge-1': {'r': 0.23511769367078036, 'p': 0.11783881827402273, 'f': 0.1338297985226621}, 'rouge-2': {'r': 0.06632132689632843, 'p': 0.02900131693620092, 'f': 0.03293145727815385}, 'rouge-l': {'r': 0.22354828283832112, 'p': 0.1115591938663289, 'f': 0.12667138283619434}}"
code_docstring_corpus_data,26980,FedAvg,1,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 4,194,304 || all params: 6,742,740,992 || trainable%: 0.06220473254091146
","['o_proj', 'k_proj']",8,"['2024-09-22 10:06:27.759233', '2024-09-22 10:51:59.393586', '2024-09-22 11:11:06.352981']","['2024-09-22 10:51:42.615532', '2024-09-22 11:10:50.157626', '2024-09-22 13:10:45.296176']",1,2000,0.060836779811790996,0.18628684777550228,"{'rouge-1': {'r': 0.29656283603199174, 'p': 0.3117296439682973, 'f': 0.26556791270280344}, 'rouge-2': {'r': 0.09904972262015606, 'p': 0.10166003678043667, 'f': 0.08542622801774219}, 'rouge-l': {'r': 0.2818981786228172, 'p': 0.2965531466765241, 'f': 0.2523025880168012}}"
code_docstring_corpus_data,26980,FedAvg,2,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 4,194,304 || all params: 6,742,740,992 || trainable%: 0.06220473254091146
","['o_proj', 'k_proj']",8,"['2024-09-22 14:27:15.116096', '2024-09-22 15:12:44.645349', '2024-09-22 15:31:47.142388']","['2024-09-22 15:12:33.638682', '2024-09-22 15:31:36.618465', '2024-09-22 17:31:23.831772']",1,2000,0.06411402140172189,0.19292344826882485,"{'rouge-1': {'r': 0.2974074506268808, 'p': 0.31548741208186054, 'f': 0.2682838566898405}, 'rouge-2': {'r': 0.10721944227634364, 'p': 0.10834298078665468, 'f': 0.09190099760901121}, 'rouge-l': {'r': 0.28437584136854827, 'p': 0.3006499836506264, 'f': 0.25606732488934664}}"
code_docstring_corpus_data,26980,FedAvg,3,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 4,194,304 || all params: 6,742,740,992 || trainable%: 0.06220473254091146
","['o_proj', 'k_proj']",8,"['2024-09-22 18:43:06.004608', '2024-09-22 19:28:28.986669', '2024-09-22 19:47:30.814673']","['2024-09-22 19:28:18.017760', '2024-09-22 19:47:20.348805', '2024-09-22 21:47:08.991726']",1,2000,0.06568732508581705,0.19531720684045095,"{'rouge-1': {'r': 0.2999618007753896, 'p': 0.3250022813476293, 'f': 0.273952261286711}, 'rouge-2': {'r': 0.1090431058371938, 'p': 0.11230440295237128, 'f': 0.09563244468611057}, 'rouge-l': {'r': 0.2861984740336356, 'p': 0.30910942779961176, 'f': 0.260818230945329}}"
code_docstring_corpus_data,26980,FedAvg,4,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 4,194,304 || all params: 6,742,740,992 || trainable%: 0.06220473254091146
","['o_proj', 'k_proj']",8,"['2024-09-22 22:58:03.289331', '2024-09-22 23:43:27.218659', '2024-09-23 00:02:30.437173']","['2024-09-22 23:43:16.149477', '2024-09-23 00:02:19.916118', '2024-09-23 02:02:08.457086']",1,2000,0.06430096899665717,0.1943738494032461,"{'rouge-1': {'r': 0.298329523030994, 'p': 0.3209085641813547, 'f': 0.27239553865200394}, 'rouge-2': {'r': 0.10633627372185618, 'p': 0.1099410104404073, 'f': 0.09322614239431412}, 'rouge-l': {'r': 0.28435315940939626, 'p': 0.30495854873691663, 'f': 0.25912804533114786}}"
code_docstring_corpus_data,26980,FedAvg,5,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 4,194,304 || all params: 6,742,740,992 || trainable%: 0.06220473254091146
","['o_proj', 'k_proj']",8,"['2024-09-23 03:12:19.643967', '2024-09-23 03:57:43.371093', '2024-09-23 04:16:45.707072']","['2024-09-23 03:57:32.386066', '2024-09-23 04:16:35.205396', '2024-09-23 06:16:31.438342']",1,2000,0.06380851041080997,0.1922116140850283,"{'rouge-1': {'r': 0.2987426353806925, 'p': 0.32590363312227943, 'f': 0.2738916666203309}, 'rouge-2': {'r': 0.10994658621893384, 'p': 0.11365745457360989, 'f': 0.09616880093473655}, 'rouge-l': {'r': 0.28417436645042105, 'p': 0.308900913368035, 'f': 0.2598968893589857}}"
code_docstring_corpus_data,26980,FedAvg,6,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 4,194,304 || all params: 6,742,740,992 || trainable%: 0.06220473254091146
","['o_proj', 'k_proj']",8,"['2024-09-23 07:27:22.800737', '2024-09-23 08:12:45.825624', '2024-09-23 08:31:48.708657']","['2024-09-23 08:12:34.769960', '2024-09-23 08:31:38.238743', '2024-09-23 10:31:26.917911']",1,2000,0.06615904793886437,0.19304844732049192,"{'rouge-1': {'r': 0.29818396201449215, 'p': 0.3273041492110925, 'f': 0.27479678805717755}, 'rouge-2': {'r': 0.10846367866104833, 'p': 0.11253068197882579, 'f': 0.09545419975722177}, 'rouge-l': {'r': 0.2837004674791769, 'p': 0.31080046343338746, 'f': 0.2610613041061212}}"
code_docstring_corpus_data,26980,FedAvg,7,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 4,194,304 || all params: 6,742,740,992 || trainable%: 0.06220473254091146
","['o_proj', 'k_proj']",8,"['2024-09-23 11:42:13.044676', '2024-09-23 12:27:40.412177', '2024-09-23 12:46:42.781122']","['2024-09-23 12:27:29.433709', '2024-09-23 12:46:32.238972', '2024-09-23 14:46:24.764177']",1,2000,0.06206500073590995,0.19276913193210482,"{'rouge-1': {'r': 0.2947921464321396, 'p': 0.3248394664831654, 'f': 0.27204336550314884}, 'rouge-2': {'r': 0.10619842102758618, 'p': 0.11049415136849616, 'f': 0.09338111279028011}, 'rouge-l': {'r': 0.2813382699756391, 'p': 0.3094296414983763, 'f': 0.2592279841787426}}"
code_docstring_corpus_data,26980,FedAvg,8,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 4,194,304 || all params: 6,742,740,992 || trainable%: 0.06220473254091146
","['o_proj', 'k_proj']",8,"['2024-09-23 15:55:30.300824', '2024-09-23 16:40:53.962754', '2024-09-23 16:59:56.188966']","['2024-09-23 16:40:42.924460', '2024-09-23 16:59:45.675837', '2024-09-23 18:59:32.415108']",1,2000,0.06264371645590452,0.1911097257546705,"{'rouge-1': {'r': 0.2943704862551935, 'p': 0.3256401435663473, 'f': 0.27323190519762774}, 'rouge-2': {'r': 0.1096606237657198, 'p': 0.11263201210766714, 'f': 0.09608143041370418}, 'rouge-l': {'r': 0.28043534948731674, 'p': 0.30938256102398976, 'f': 0.25970734696209524}}"
