Data,TrainDataSize,ModelType,Round,BaseModelName,TrainableParams,TargetModules,RankLoRAModule,StartTime,EndTime,NumberEpochs,EvalDataSize,C-BLEU,METEOR,ROUGE-L
code_docstring_corpus_data,26980,Central,NA,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,2024-01-27 15:41:24.531064,2024-01-27 17:01:12.533563,1,2000,0.04515753020631269,0.14831528176976772,"{'rouge-1': {'r': 0.23795547207119672, 'p': 0.3007264111282732, 'f': 0.2241934679631081}, 'rouge-2': {'r': 0.07888417321415238, 'p': 0.09809612234788738, 'f': 0.07169205297970803}, 'rouge-l': {'r': 0.22635572542242308, 'p': 0.2859577225229476, 'f': 0.2131414204231635}}"
NA,NA,FedAvg,0,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,NA,NA,1,2000,0.004526724664129292,0.03906756964274089,"{'rouge-1': {'r': 0.08398297504479385, 'p': 0.05745239854739809, 'f': 0.056606701670133416}, 'rouge-2': {'r': 0.013628253599611733, 'p': 0.007164972163054385, 'f': 0.0073434333948008594}, 'rouge-l': {'r': 0.07932627585026475, 'p': 0.054536102023998764, 'f': 0.05345867926433416}}"
code_docstring_corpus_data,26980,FedAvg,1,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-26 12:57:16.425182', '2024-09-26 13:19:20.187285', '2024-09-26 13:28:42.033095']","['2024-09-26 13:19:01.205011', '2024-09-26 13:28:23.289599', '2024-09-26 14:26:09.805958']",1,2000,0.05329749473790162,0.18195059854597145,"{'rouge-1': {'r': 0.28619310616102067, 'p': 0.32069465282070647, 'f': 0.2611758316469704}, 'rouge-2': {'r': 0.09838149834957972, 'p': 0.1055573747417031, 'f': 0.08529171639971728}, 'rouge-l': {'r': 0.27260314195707586, 'p': 0.3047535915790991, 'f': 0.24856458751444602}}"
code_docstring_corpus_data,26980,FedAvg,2,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-26 15:35:18.210271', '2024-09-26 15:57:18.109936', '2024-09-26 16:06:36.635373']","['2024-09-26 15:57:02.573199', '2024-09-26 16:06:21.351185', '2024-09-26 17:04:03.366834']",1,2000,0.06422615350208628,0.1924941621063302,"{'rouge-1': {'r': 0.30086420273552095, 'p': 0.31625516655892466, 'f': 0.2695318866034285}, 'rouge-2': {'r': 0.10724385713598804, 'p': 0.10680915470652316, 'f': 0.09099395628222116}, 'rouge-l': {'r': 0.2874828577720828, 'p': 0.30098333280695516, 'f': 0.25685294952545545}}"
code_docstring_corpus_data,26980,FedAvg,3,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-26 18:16:05.649478', '2024-09-26 18:38:05.835364', '2024-09-26 18:47:24.571465']","['2024-09-26 18:37:49.940187', '2024-09-26 18:47:09.162299', '2024-09-26 19:44:51.544576']",1,2000,0.061258836416861494,0.1889191771591523,"{'rouge-1': {'r': 0.294518657038873, 'p': 0.3150745501876539, 'f': 0.26563195446037896}, 'rouge-2': {'r': 0.102833439474621, 'p': 0.10715053477077825, 'f': 0.08962724251810086}, 'rouge-l': {'r': 0.2811256369044183, 'p': 0.30046557653785805, 'f': 0.25328488713867425}}"
code_docstring_corpus_data,26980,FedAvg,4,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-26 20:59:05.577776', '2024-09-26 21:21:05.345171', '2024-09-26 21:30:23.864756']","['2024-09-26 21:20:49.473654', '2024-09-26 21:30:08.501545', '2024-09-26 22:27:50.378110']",1,2000,0.06317778093856179,0.19378340948979447,"{'rouge-1': {'r': 0.2999663331257205, 'p': 0.3220655000231638, 'f': 0.27281270909707517}, 'rouge-2': {'r': 0.10628533211170635, 'p': 0.11040783269924134, 'f': 0.09352376834672771}, 'rouge-l': {'r': 0.2851482343903108, 'p': 0.306328795851567, 'f': 0.25928221525628353}}"
code_docstring_corpus_data,26980,FedAvg,5,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-26 23:38:48.707523', '2024-09-27 00:00:48.221195', '2024-09-27 00:10:06.830187']","['2024-09-27 00:00:32.590211', '2024-09-27 00:09:51.488322', '2024-09-27 01:07:33.598169']",1,2000,0.06109349139390674,0.19204561794938144,"{'rouge-1': {'r': 0.29688440176885106, 'p': 0.3217065222566085, 'f': 0.2699769257296887}, 'rouge-2': {'r': 0.10602759901925274, 'p': 0.11301548782807479, 'f': 0.0939930863878873}, 'rouge-l': {'r': 0.28287790812705443, 'p': 0.30608956215508876, 'f': 0.2568360486390874}}"
code_docstring_corpus_data,26980,FedAvg,6,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-27 02:17:48.615215', '2024-09-27 02:39:48.429750', '2024-09-27 02:49:06.953854']","['2024-09-27 02:39:32.740133', '2024-09-27 02:48:51.592274', '2024-09-27 03:46:33.635127']",1,2000,0.06461691523185126,0.19013262193399524,"{'rouge-1': {'r': 0.3008828310249047, 'p': 0.3226098319175934, 'f': 0.273561192410825}, 'rouge-2': {'r': 0.10362890946347281, 'p': 0.10882569783497544, 'f': 0.09160184273642491}, 'rouge-l': {'r': 0.28612918816387656, 'p': 0.3071335065227299, 'f': 0.2602616283712875}}"
code_docstring_corpus_data,26980,FedAvg,7,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-27 04:56:30.778569', '2024-09-27 05:18:30.774614', '2024-09-27 05:27:49.549464']","['2024-09-27 05:18:15.137481', '2024-09-27 05:27:33.972930', '2024-09-27 06:25:15.906780']",1,2000,0.06293013240839566,0.1913375198886917,"{'rouge-1': {'r': 0.29626135343347043, 'p': 0.32300700744906446, 'f': 0.27275456619263644}, 'rouge-2': {'r': 0.10558151663275915, 'p': 0.11200994068394408, 'f': 0.09391400866533381}, 'rouge-l': {'r': 0.2818538399561625, 'p': 0.3072693973772923, 'f': 0.25939421542045094}}"
code_docstring_corpus_data,26980,FedAvg,8,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-27 07:34:37.160431', '2024-09-27 07:56:36.578958', '2024-09-27 08:05:55.092135']","['2024-09-27 07:56:21.043063', '2024-09-27 08:05:39.744064', '2024-09-27 09:03:22.522637']",1,2000,0.06220731181372812,0.1918903834650884,"{'rouge-1': {'r': 0.299133117980016, 'p': 0.32600525209879255, 'f': 0.27486696897543994}, 'rouge-2': {'r': 0.1062791083441142, 'p': 0.11229161162225271, 'f': 0.09498617264824762}, 'rouge-l': {'r': 0.28387155238452905, 'p': 0.3083456288567467, 'f': 0.2603274216774478}}"
