Data,TrainDataSize,ModelType,Round,BaseModelName,TrainableParams,TargetModules,RankLoRAModule,StartTime,EndTime,NumberEpochs,EvalDataSize,C-BLEU,METEOR,ROUGE-L
JavaOnly,29396,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['q_proj'],64,2024-02-14 09:40:57.507527,2024-02-14 11:35:46.332975,1,3271,0.047414106439186976,0.1798246032539849,"{'rouge-1': {'r': 0.22108817339850237, 'p': 0.2969701172157315, 'f': 0.23528540610428111}, 'rouge-2': {'r': 0.08642741654585849, 'p': 0.11617982705713126, 'f': 0.09097695822095563}, 'rouge-l': {'r': 0.1993747152121385, 'p': 0.2678376807155117, 'f': 0.21189443006467049}}"
JavaOnly,29396,FedAvg,1,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['q_proj'],64,"['2024-02-16 08:32:03.367042', '2024-02-16 09:19:27.701652', '2024-02-16 09:42:59.790492']","['2024-02-16 09:19:21.802284', '2024-02-16 09:42:54.051811', '2024-02-16 10:28:38.179065']",1,3271,0.005923112356214299,0.07835428804560315,"{'rouge-1': {'r': 0.1424911411076023, 'p': 0.1018219364831668, 'f': 0.09707474008791286}, 'rouge-2': {'r': 0.035628016493729785, 'p': 0.026319043420069094, 'f': 0.023865469192768322}, 'rouge-l': {'r': 0.13352844743098927, 'p': 0.09449753817621837, 'f': 0.09020686861664608}}"
JavaOnly,29396,FedAvg,2,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['q_proj'],64,"['2024-02-16 13:07:26.007020', '2024-02-16 13:54:50.642172', '2024-02-16 14:18:24.011240']","['2024-02-16 13:54:44.310444', '2024-02-16 14:18:17.887000', '2024-02-16 15:04:02.343575']",1,3271,0.014383101459091538,0.10165297336628555,"{'rouge-1': {'r': 0.12120500961295684, 'p': 0.18028558765496122, 'f': 0.1355253592238984}, 'rouge-2': {'r': 0.04897986193298935, 'p': 0.07377599830262452, 'f': 0.054468749646513666}, 'rouge-l': {'r': 0.11245660278308696, 'p': 0.1671220333762692, 'f': 0.12567447123095424}}"
JavaOnly,29396,FedAvg,3,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['q_proj'],64,"['2024-02-16 15:22:34.954124', '2024-02-16 16:09:59.169258', '2024-02-16 16:33:32.250769']","['2024-02-16 16:09:52.785489', '2024-02-16 16:33:26.298419', '2024-02-16 17:19:11.360673']",1,3271,0.008972383873617597,0.07692880030499138,"{'rouge-1': {'r': 0.09407437869005547, 'p': 0.13169580335479308, 'f': 0.10033446141648232}, 'rouge-2': {'r': 0.037111569368080424, 'p': 0.04780891755663448, 'f': 0.03829128935160578}, 'rouge-l': {'r': 0.08670360940724726, 'p': 0.12134763259566025, 'f': 0.09223743137118134}}"
JavaOnly,29396,FedAvg,4,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['q_proj'],64,"['2024-02-16 17:31:45.321018', '2024-02-16 18:19:10.265060', '2024-02-16 18:42:43.018909']","['2024-02-16 18:19:04.076076', '2024-02-16 18:42:37.048128', '2024-02-16 19:28:21.055483']",1,3271,0.007427365786182007,0.06538167217424068,"{'rouge-1': {'r': 0.07976056408688387, 'p': 0.1123034351605724, 'f': 0.08535542084385452}, 'rouge-2': {'r': 0.029810819194443408, 'p': 0.03909501767943224, 'f': 0.03111541323375055}, 'rouge-l': {'r': 0.07359157434944252, 'p': 0.10364285603067282, 'f': 0.07856456394952747}}"
JavaOnly,29396,FedAvg,5,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['q_proj'],64,"['2024-02-16 19:39:51.911392', '2024-02-16 20:27:16.060590', '2024-02-16 20:50:49.880222']","['2024-02-16 20:27:09.808702', '2024-02-16 20:50:43.932115', '2024-02-16 21:36:28.795516']",1,3271,0.008658021775320641,0.057065263745379,"{'rouge-1': {'r': 0.07010041082210965, 'p': 0.1035519974288025, 'f': 0.0754548512031268}, 'rouge-2': {'r': 0.026442069437755508, 'p': 0.03483025934212374, 'f': 0.027520574860809045}, 'rouge-l': {'r': 0.06414411032696603, 'p': 0.09526841028823695, 'f': 0.06887964951278978}}"
JavaOnly,29396,FedAvg,6,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['q_proj'],64,"['2024-02-16 21:49:41.345789', '2024-02-16 22:37:06.356377', '2024-02-16 23:00:39.612990']","['2024-02-16 22:36:59.967731', '2024-02-16 23:00:33.661792', '2024-02-16 23:46:18.964160']",1,3271,0.005380649372249825,0.05394490383602656,"{'rouge-1': {'r': 0.06592854838509107, 'p': 0.09647157808380645, 'f': 0.07063695018237875}, 'rouge-2': {'r': 0.023852603950824725, 'p': 0.030576432687801317, 'f': 0.024610478879717724}, 'rouge-l': {'r': 0.05981032024231856, 'p': 0.08773407101992205, 'f': 0.06389069286711493}}"
JavaOnly,29396,FedAvg,7,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['q_proj'],64,"['2024-02-16 23:57:26.810464', '2024-02-17 00:44:50.087763', '2024-02-17 01:08:22.731519']","['2024-02-17 00:44:43.873133', '2024-02-17 01:08:16.553030', '2024-02-17 01:54:00.893201']",1,3271,0.008673331468467434,0.04989562572706108,"{'rouge-1': {'r': 0.06256151690704666, 'p': 0.09876569024980827, 'f': 0.06729173446612083}, 'rouge-2': {'r': 0.023233395954669295, 'p': 0.028585368175454158, 'f': 0.023445465952103235}, 'rouge-l': {'r': 0.05750090840837783, 'p': 0.09214355105358016, 'f': 0.06191124312396421}}"
JavaOnly,29396,FedAvg,8,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['q_proj'],64,"['2024-02-17 02:08:31.693016', '2024-02-17 02:55:56.115283', '2024-02-17 03:19:28.826910']","['2024-02-17 02:55:49.937874', '2024-02-17 03:19:22.882625', '2024-02-17 04:05:07.400508']",1,3271,0.009042509831562979,0.05377340475150198,"{'rouge-1': {'r': 0.06736433426457453, 'p': 0.10025929604411292, 'f': 0.07195451428292325}, 'rouge-2': {'r': 0.02491530548102482, 'p': 0.03114053451537691, 'f': 0.025542557548349193}, 'rouge-l': {'r': 0.062309917978081324, 'p': 0.09345592486665928, 'f': 0.06643161275122471}}"
JavaOnly,29396,FedAvg,9,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['q_proj'],64,"['2024-02-17 04:19:52.315394', '2024-02-17 05:07:16.071724', '2024-02-17 05:30:48.486546']","['2024-02-17 05:07:09.766484', '2024-02-17 05:30:42.516884', '2024-02-17 06:16:25.677491']",1,3271,0.007909050261990652,0.05226864214929347,"{'rouge-1': {'r': 0.06519995678482479, 'p': 0.09634170998866225, 'f': 0.06890323087189856}, 'rouge-2': {'r': 0.024474804505478405, 'p': 0.028803163310144583, 'f': 0.024270073621395077}, 'rouge-l': {'r': 0.059683972673013556, 'p': 0.08869807530706479, 'f': 0.06288146611889342}}"
