Data,Client,project,BaseModelName,EvalDataSize,C-BLEU,METEOR,ROUGE-L
JavaOnly,0,dubbo,NousResearch/Llama-2-7b-hf,108,2.341689643841766e-232,0.004989544360754034,"{'rouge-1': {'r': 0.004038065843621399, 'p': 0.0003345789590081828, 'f': 0.0006113748436530639}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.004038065843621399, 'p': 0.0003345789590081828, 'f': 0.0006113748436530639}}"
JavaOnly,0,flink,NousResearch/Llama-2-7b-hf,977,1.230400699067857e-232,0.004308386532400128,"{'rouge-1': {'r': 0.0001663254861821904, 'p': 1.904634001100967e-05, 'f': 3.402392579582388e-05}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0001663254861821904, 'p': 1.904634001100967e-05, 'f': 3.402392579582388e-05}}"
JavaOnly,1,ExoPlayer,NousResearch/Llama-2-7b-hf,285,2.070734563949122e-232,0.005161878110232402,"{'rouge-1': {'r': 0.002038043007572093, 'p': 0.00020496578657642656, 'f': 0.0003705691352614967}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.002038043007572093, 'p': 0.00020496578657642656, 'f': 0.0003705691352614967}}"
JavaOnly,1,dagger,NousResearch/Llama-2-7b-hf,9,0,0.001970055161544523,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}"
JavaOnly,1,kafka,NousResearch/Llama-2-7b-hf,327,2.3847298817959544e-232,0.005443494104490568,"{'rouge-1': {'r': 0.0031989822837523584, 'p': 0.0004041318035167515, 'f': 0.0007018082903420196}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0031989822837523584, 'p': 0.0004041318035167515, 'f': 0.0007018082903420196}}"
JavaOnly,2,guava,NousResearch/Llama-2-7b-hf,203,1.8993070051866897e-232,0.0026932034727749636,"{'rouge-1': {'r': 0.0006687024942603037, 'p': 0.0001366792411568531, 'f': 0.00022555438477886138}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0006687024942603037, 'p': 0.0001366792411568531, 'f': 0.00022555438477886138}}"
JavaOnly,2,spring-framework,NousResearch/Llama-2-7b-hf,994,1.6281431409852838e-232,0.002461787075312316,"{'rouge-1': {'r': 0.0005102766672183171, 'p': 5.768867728832296e-05, 'f': 0.00010324990352459977}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0005102766672183171, 'p': 5.768867728832296e-05, 'f': 0.00010324990352459977}}"
JavaOnly,2,spring-boot,NousResearch/Llama-2-7b-hf,161,0,0.0023527615897398855,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}"
JavaOnly,2,spring-security,NousResearch/Llama-2-7b-hf,207,0,0.002299018140432288,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}"
JavaOnly,Fed,dubbo,NousResearch/Llama-2-7b-hf,108,0,0.003942031687641947,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}"
JavaOnly,Fed,flink,NousResearch/Llama-2-7b-hf,977,1.7411416076916536e-232,0.00681031673211731,"{'rouge-1': {'r': 0.0008684224907356944, 'p': 0.00010234895423869607, 'f': 0.00017967169127235973}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0008684224907356944, 'p': 0.00010234895423869607, 'f': 0.00017967169127235973}}"
