Data,TrainDataSize,ModelType,Round,BaseModelName,TrainableParams,TargetModules,RankLoRAModule,StartTime,EndTime,NumberEpochs,EvalDataSize,C-BLEU,METEOR,ROUGE-L,,,,,,,,,,,,,,
JavaOnly,29396,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,2024-02-11 17:52:58.847261,2024-02-11 18:41:34.845221,1,3271,0.08735960040886200,0.2757359277245060,"{'rouge-1': {'r': 0.33137185606540115, 'p': 0.40481653676628304, 'f': 0.34264262207282487}, 'rouge-2': {'r': 0.1505978160168497, 'p': 0.17594610786951428, 'f': 0.1512088729323376}, 'rouge-l': {'r': 0.30462616793113356, 'p': 0.3709134968298895, 'f': 0.31439986873285775}}",,,,,,,,,,,,,,
NA,NA,FedAvg,0,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,NA,NA,1,3271,0.0011013420951225600,0.048329972876403500,"{'rouge-1': {'r': 0.1299527060157517, 'p': 0.04147369090029931, 'f': 0.05863091908482465}, 'rouge-2': {'r': 0.015764141428577464, 'p': 0.003134458722244069, 'f': 0.004910652849426219}, 'rouge-l': {'r': 0.12326938564116113, 'p': 0.03924696310220363, 'f': 0.05544594395721455}}JavaOnly",29396,FedAvg,1,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 04:54:19.550975', '2024-09-30 05:31:56.038829', '2024-09-30 05:50:48.540705']","['2024-09-30 05:31:29.208684', '2024-09-30 05:50:22.184713', '2024-09-30 06:26:44.143471']",1,3271,0.052137618286163500,0.19289938218252300,"{'rouge-1': {'r': 0.23218613659360982, 'p': 0.3324243958133532, 'f': 0.25228713979150214}, 'rouge-2': {'r': 0.09874901378110858, 'p': 0.1375991692214523, 'f': 0.10584758464345818}, 'rouge-l': {'r': 0.21543411297789938, 'p': 0.30908088311253934, 'f': 0.2339814943602209}}"
JavaOnly,29396,FedAvg,1,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"[‘2024-09-30 04:54:19.550975’,’2024-09-30 05:31:56.038829’,’2024-09-30 05:50:48.540705’]","[‘2024-09-30 05:31:29.208684’,’2024-09-30 05:50:22.184713’,‘2024-09-30 06:26:44.143471’]",1,3271,0.0521376182861635,0.192899382182523,"{'rouge-1': {'r': 0.23218613659360982, 'p': 0.3324243958133532, 'f': 0.25228713979150214}, 'rouge-2': {'r': 0.09874901378110858, 'p': 0.1375991692214523, 'f': 0.10584758464345818}, 'rouge-l': {'r': 0.21543411297789938, 'p': 0.30908088311253934, 'f': 0.2339814943602209}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,2,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 07:03:21.364867', '2024-09-30 07:40:51.579095', '2024-09-30 07:59:35.981739']","['2024-09-30 07:40:31.795871', '2024-09-30 07:59:17.493957', '2024-09-30 08:35:30.631294']",1,3271,0.028604839684692200,0.1285113754873540,"{'rouge-1': {'r': 0.15474069466803927, 'p': 0.23803344058690046, 'f': 0.17104598162709614}, 'rouge-2': {'r': 0.06629591617800623, 'p': 0.09299139543468361, 'f': 0.07152791684834552}, 'rouge-l': {'r': 0.14338088033935123, 'p': 0.22183076614155872, 'f': 0.15845357389980635}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,3,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 09:03:46.170301', '2024-09-30 09:41:16.807026', '2024-09-30 10:00:02.384369']","['2024-09-30 09:40:56.781754', '2024-09-30 09:59:42.917179', '2024-09-30 10:35:59.912908']",1,3271,0.03171093285420450,0.1402113979592050,"{'rouge-1': {'r': 0.168827122710059, 'p': 0.25325364244227894, 'f': 0.18565351195983706}, 'rouge-2': {'r': 0.07187916152798902, 'p': 0.10055331133448168, 'f': 0.0775234215945632}, 'rouge-l': {'r': 0.15720086291933338, 'p': 0.23637946105244353, 'f': 0.17267669481614764}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,4,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 11:05:04.575793', '2024-09-30 11:42:34.632375', '2024-09-30 12:01:18.815996']","['2024-09-30 11:42:14.751899', '2024-09-30 12:01:00.442943', '2024-09-30 12:37:16.717498']",1,3271,0.03913317346591080,0.1576375063166940,"{'rouge-1': {'r': 0.1898706963032321, 'p': 0.2743028208982923, 'f': 0.20607426765457482}, 'rouge-2': {'r': 0.07987299769590903, 'p': 0.10755074112288417, 'f': 0.0847120232827816}, 'rouge-l': {'r': 0.1764731482936543, 'p': 0.255136611088265, 'f': 0.19117488930656978}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,5,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 13:09:50.321051', '2024-09-30 13:47:20.393182', '2024-09-30 14:06:04.714882']","['2024-09-30 13:47:01.566870', '2024-09-30 14:05:46.392478', '2024-09-30 14:42:02.550813']",1,3271,0.04890138980888970,0.17630185378857800,"{'rouge-1': {'r': 0.21321145523896382, 'p': 0.3018004861912725, 'f': 0.2310526729366577}, 'rouge-2': {'r': 0.09101694988366377, 'p': 0.12076386475997629, 'f': 0.09595071068324695}, 'rouge-l': {'r': 0.1982902058822589, 'p': 0.28024380776540503, 'f': 0.21441300066148816}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,6,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 15:20:39.461463', '2024-09-30 15:58:08.986092', '2024-09-30 16:16:54.138658']","['2024-09-30 15:57:50.539098', '2024-09-30 16:16:34.939522', '2024-09-30 16:52:50.570547']",1,3271,0.05582476746002170,0.19616984506233200,"{'rouge-1': {'r': 0.23756826179801366, 'p': 0.3304349752902042, 'f': 0.2563154396652847}, 'rouge-2': {'r': 0.10045454131679306, 'p': 0.1341273440252087, 'f': 0.10618477045862439}, 'rouge-l': {'r': 0.2182809382657418, 'p': 0.3039294533761031, 'f': 0.2353299842362313}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,7,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 17:33:11.201585', '2024-09-30 18:10:39.482819', '2024-09-30 18:29:23.522487']","['2024-09-30 18:10:21.030987', '2024-09-30 18:29:05.381197', '2024-09-30 19:05:21.075988']",1,3271,0.05061578717198320,0.20441185213607300,"{'rouge-1': {'r': 0.24905239121108036, 'p': 0.34542041374814975, 'f': 0.2687035956427045}, 'rouge-2': {'r': 0.1048691064211198, 'p': 0.13907513761390675, 'f': 0.11028232250580092}, 'rouge-l': {'r': 0.2291516099314132, 'p': 0.31804085979016045, 'f': 0.24704849583627037}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,8,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 19:49:11.850012', '2024-09-30 20:26:40.318321', '2024-09-30 20:45:25.658055']","['2024-09-30 20:26:21.984776', '2024-09-30 20:45:06.318554', '2024-09-30 21:21:23.977500']",1,3271,0.05125552910535330,0.2173254515338700,"{'rouge-1': {'r': 0.2625330372200529, 'p': 0.35672033088582766, 'f': 0.2818907747708844}, 'rouge-2': {'r': 0.11048388535486237, 'p': 0.14341613996299424, 'f': 0.11529141577454877}, 'rouge-l': {'r': 0.2410542703807603, 'p': 0.3273936961823097, 'f': 0.2584792413676859}}",,,,,,,,,,,,,,
