Data,Client,project,BaseModelName,EvalDataSize,C-BLEU,METEOR,ROUGE-L
JavaOnly,0,dubbo,NousResearch/Llama-2-7b-hf,108,1.749358418440216e-232,0.005178258392881047,"{'rouge-1': {'r': 0.0008417508417508418, 'p': 0.00013227513227513228, 'f': 0.00022862366368044825}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0008417508417508418, 'p': 0.00013227513227513228, 'f': 0.00022862366368044825}}"
JavaOnly,1,ExoPlayer,NousResearch/Llama-2-7b-hf,285,1.703892517395416e-232,0.0032571933020635766,"{'rouge-1': {'r': 0.0014411027568922306, 'p': 0.00013605442176870745, 'f': 0.00024805855469511336}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0014411027568922306, 'p': 0.00013605442176870745, 'f': 0.00024805855469511336}}"
JavaOnly,2,guava,NousResearch/Llama-2-7b-hf,203,2.4078255287272584e-232,0.004778132462800544,"{'rouge-1': {'r': 0.003433614825240441, 'p': 0.00039118697664723874, 'f': 0.0006958749053907555}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.003433614825240441, 'p': 0.00039118697664723874, 'f': 0.0006958749053907555}}"
JavaOnly,Fed,dubbo,NousResearch/Llama-2-7b-hf,108,1.965462731806605e-232,0.009832146542178686,"{'rouge-1': {'r': 0.0033436213991769547, 'p': 0.00018218449931412892, 'f': 0.0003434631009805453}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0033436213991769547, 'p': 0.00018218449931412892, 'f': 0.0003434631009805453}}"
JavaOnly,Fed,flink,NousResearch/Llama-2-7b-hf,977,2.1046454293129116e-232,0.006989180510327179,"{'rouge-1': {'r': 0.0019328540553713058, 'p': 0.00027679147767328187, 'f': 0.00047701444240826556}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0019328540553713058, 'p': 0.00027679147767328187, 'f': 0.00047701444240826556}}"
JavaOnly,Fed,ExoPlayer,NousResearch/Llama-2-7b-hf,285,1.8325428229691368e-232,0.0072941455998706385,"{'rouge-1': {'r': 0.001342244500139237, 'p': 0.00014179631554885768, 'f': 0.000255362825938681}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.001342244500139237, 'p': 0.00014179631554885768, 'f': 0.000255362825938681}}"
JavaOnly,Fed,dagger,NousResearch/Llama-2-7b-hf,9,0,0.013613679832201762,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}"
JavaOnly,Fed,kafka,NousResearch/Llama-2-7b-hf,327,1.8768604566758353e-232,0.0075354775847678605,"{'rouge-1': {'r': 0.0010155191195646341, 'p': 0.0001532631652510726, 'f': 0.00026292431592317433}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0010155191195646341, 'p': 0.0001532631652510726, 'f': 0.00026292431592317433}}"
JavaOnly,Fed,guava,NousResearch/Llama-2-7b-hf,203,1.9877992730891015e-232,0.008043975640651704,"{'rouge-1': {'r': 0.0014427019939507596, 'p': 0.00019187336784374427, 'f': 0.00032393628332140647}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0014427019939507596, 'p': 0.00019187336784374427, 'f': 0.00032393628332140647}}"
JavaOnly,Fed,spring-framework,NousResearch/Llama-2-7b-hf,994,1.5985385614822639e-232,0.007900989166677232,"{'rouge-1': {'r': 0.0005659873963737392, 'p': 8.809735576776802e-05, 'f': 0.0001481000758798101}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0005659873963737392, 'p': 8.809735576776802e-05, 'f': 0.0001481000758798101}}"
