Data,TrainDataSize,ModelType,Round,BaseModelName,TrainableParams,TargetModules,RankLoRAModule,StartTime,EndTime,NumberEpochs,EvalDataSize,C-BLEU,METEOR,ROUGE-L
JavaOnly,29396,Central,NA,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,2024-02-24 21:41:45.944185,2024-02-24 23:29:17.600141,1,3271,0.015305830500275836,0.21980320706113382,"{'rouge-1': {'r': 0.43315407006167034, 'p': 0.2262438281978, 'f': 0.2574915488387595}, 'rouge-2': {'r': 0.2033410702312011, 'p': 0.08681828357929162, 'f': 0.10138843055824667}, 'rouge-l': {'r': 0.4001985756450641, 'p': 0.20716511284463984, 'f': 0.23618953273396345}}"
NA,NA,FedAvg,0,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,NA,NA,1,3271,0.0015693293867831497,0.0399834186919547,"{'rouge-1': {'r': 0.08802494481878127, 'p': 0.04456276510263274, 'f': 0.05319413879386406}, 'rouge-2': {'r': 0.013729760244906557, 'p': 0.004128661633776083, 'f': 0.005604656351618154}, 'rouge-l': {'r': 0.08421337009479891, 'p': 0.04247718942400528, 'f': 0.050693342952515416}}"
JavaOnly,29396,FedAvg,1,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-25 20:23:55.690131', '2024-02-25 21:08:20.410765', '2024-02-25 21:30:26.684385']","['2024-02-25 21:08:11.469468', '2024-02-25 21:30:17.728467', '2024-02-25 22:13:09.304673']",1,3271,0.024896796807649568,0.23423511590986051,"{'rouge-1': {'r': 0.34620481430339417, 'p': 0.28739502883907103, 'f': 0.27731524603126184}, 'rouge-2': {'r': 0.1400098834630208, 'p': 0.11664743785620005, 'f': 0.10810641094559913}, 'rouge-l': {'r': 0.3167570247052299, 'p': 0.2611870682361022, 'f': 0.2524436091181103}}"
JavaOnly,29396,FedAvg,2,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-26 17:19:35.228824', '2024-02-26 18:04:03.295431', '2024-02-26 18:26:09.266871']","['2024-02-26 18:03:54.038126', '2024-02-26 18:26:00.438571', '2024-02-26 19:08:53.877631']",1,3271,0.0803969443645364,0.3024298363102639,"{'rouge-1': {'r': 0.37493999668868516, 'p': 0.37384977051264173, 'f': 0.34981269293692374}, 'rouge-2': {'r': 0.17389604665765737, 'p': 0.17144849171673, 'f': 0.15834832205810834}, 'rouge-l': {'r': 0.3436558536531991, 'p': 0.34072898977372, 'f': 0.31971865707684866}}"
JavaOnly,29396,FedAvg,3,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-26 19:46:17.742290', '2024-02-26 20:30:44.958980', '2024-02-26 20:52:49.018072']","['2024-02-26 20:30:35.035628', '2024-02-26 20:52:41.127873', '2024-02-26 21:35:32.348026']",1,3271,0.03874260614283679,0.23290239656254907,"{'rouge-1': {'r': 0.30874332702286317, 'p': 0.29263639657674, 'f': 0.2767171556907387}, 'rouge-2': {'r': 0.1327846750239799, 'p': 0.12450313210845763, 'f': 0.11653001123993344}, 'rouge-l': {'r': 0.2822054001592617, 'p': 0.26564667577047085, 'f': 0.2517605152691827}}"
JavaOnly,29396,FedAvg,4,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-26 22:48:21.023101', '2024-02-26 23:32:48.009228', '2024-02-26 23:54:54.251941']","['2024-02-26 23:32:38.128860', '2024-02-26 23:54:44.850518', '2024-02-27 00:37:39.898376']",1,3271,0.021067878213358877,0.19486259717374074,"{'rouge-1': {'r': 0.2646949281397866, 'p': 0.23992478645082221, 'f': 0.23186258092984055}, 'rouge-2': {'r': 0.11205679002901889, 'p': 0.09612935061351592, 'f': 0.09358212469733382}, 'rouge-l': {'r': 0.2404220156178586, 'p': 0.21705965465326893, 'f': 0.20990128036991326}}"
JavaOnly,29396,FedAvg,5,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-27 02:29:17.645039', '2024-02-27 03:13:44.426563', '2024-02-27 03:35:50.184477']","['2024-02-27 03:13:34.659577', '2024-02-27 03:35:42.349607', '2024-02-27 04:18:34.238495']",1,3271,0.009685916606524942,0.1404914754092034,"{'rouge-1': {'r': 0.1900948031372092, 'p': 0.17173110277382264, 'f': 0.16482041997205088}, 'rouge-2': {'r': 0.08191880419369045, 'p': 0.0671561863283606, 'f': 0.06682209357749386}, 'rouge-l': {'r': 0.17237306768536598, 'p': 0.15559182866337876, 'f': 0.1491491755426808}}"
JavaOnly,29396,FedAvg,6,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-27 07:22:56.517064', '2024-02-27 08:07:22.755046', '2024-02-27 08:29:29.157059']","['2024-02-27 08:07:12.844594', '2024-02-27 08:29:19.821667', '2024-02-27 09:12:13.322880']",1,3271,0.008738203536578674,0.12673574001652316,"{'rouge-1': {'r': 0.1723165614273559, 'p': 0.1558902608067892, 'f': 0.14944544367733303}, 'rouge-2': {'r': 0.07332767905315145, 'p': 0.05885356681948545, 'f': 0.05902376667609705}, 'rouge-l': {'r': 0.15551117216458932, 'p': 0.14075245473962797, 'f': 0.1345986070401338}}"
JavaOnly,29396,FedAvg,7,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-27 12:26:33.076810', '2024-02-27 13:10:59.887819', '2024-02-27 13:33:04.766450']","['2024-02-27 13:10:50.322420', '2024-02-27 13:32:56.848760', '2024-02-27 14:15:50.285513']",1,3271,0.00987636709968753,0.12215855955350265,"{'rouge-1': {'r': 0.16279703912554053, 'p': 0.14676213719521095, 'f': 0.14218378732972836}, 'rouge-2': {'r': 0.06890150103395495, 'p': 0.05677799883185221, 'f': 0.05695306581210779}, 'rouge-l': {'r': 0.1485568033329575, 'p': 0.13362111817576197, 'f': 0.12953354217988503}}"
JavaOnly,29396,FedAvg,8,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-27 17:30:35.845487', '2024-02-27 18:15:05.624223', '2024-02-27 18:37:12.735487']","['2024-02-27 18:14:57.210312', '2024-02-27 18:37:04.844430', '2024-02-27 19:20:02.284320']",1,3271,0.011539031160777714,0.12946814882577798,"{'rouge-1': {'r': 0.16889141947041605, 'p': 0.15443652811128086, 'f': 0.14931528964573626}, 'rouge-2': {'r': 0.07137778840508956, 'p': 0.06052536623197362, 'f': 0.06009707981354282}, 'rouge-l': {'r': 0.15188804472293285, 'p': 0.1387175025376175, 'f': 0.13392539825930785}}"
