Data,TrainDataSize,ModelType,Round,BaseModelName,TrainableParams,TargetModules,RankLoRAModule,StartTime,EndTime,NumberEpochs,EvalDataSize,C-BLEU,METEOR,ROUGE-L
JavaOnly,29396,FedAvg,1,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 10:20:46.085169', '2024-09-30 10:42:33.771884', '2024-09-30 10:53:31.182758']","['2024-09-30 10:42:14.478936', '2024-09-30 10:53:12.413401', '2024-09-30 11:14:14.798401']",1,3271,0.05620927432521012,0.25425957379563446,"{'rouge-1': {'r': 0.30664511730406163, 'p': 0.3525595085404084, 'f': 0.30653075092664844}, 'rouge-2': {'r': 0.14732320441699018, 'p': 0.15938624750078503, 'f': 0.1420745475135885}, 'rouge-l': {'r': 0.2845668204606427, 'p': 0.32585249002805505, 'f': 0.2837174353838314}}"
JavaOnly,29396,FedAvg,2,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 12:11:27.997103', '2024-09-30 12:33:10.975946', '2024-09-30 12:44:05.042399']","['2024-09-30 12:32:55.445789', '2024-09-30 12:43:49.543059', '2024-09-30 13:04:48.799295']",1,3271,0.053367492247740296,0.26282432330836336,"{'rouge-1': {'r': 0.31830736087640865, 'p': 0.34679864388205545, 'f': 0.3105451919291622}, 'rouge-2': {'r': 0.14945342877256051, 'p': 0.1542643798825978, 'f': 0.14091902823115518}, 'rouge-l': {'r': 0.29289186696759595, 'p': 0.3175204510887102, 'f': 0.28490002331851577}}"
JavaOnly,29396,FedAvg,3,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 14:04:07.394958', '2024-09-30 14:25:51.029107', '2024-09-30 14:36:44.784400']","['2024-09-30 14:25:35.108172', '2024-09-30 14:36:29.466031', '2024-09-30 14:57:28.494151']",1,3271,0.053880455440228237,0.26545237813379824,"{'rouge-1': {'r': 0.32077248351697374, 'p': 0.35610556569477103, 'f': 0.3163221495187752}, 'rouge-2': {'r': 0.15201739498897154, 'p': 0.16072890306212773, 'f': 0.14597157170436803}, 'rouge-l': {'r': 0.2945306966143581, 'p': 0.3262647696022588, 'f': 0.28985905438964776}}"
JavaOnly,29396,FedAvg,4,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 15:56:45.077773', '2024-09-30 16:18:28.223583', '2024-09-30 16:29:22.146195']","['2024-09-30 16:18:12.591250', '2024-09-30 16:29:06.831062', '2024-09-30 16:50:06.003031']",1,3271,0.052724017917288875,0.27784352557941155,"{'rouge-1': {'r': 0.33563839538071355, 'p': 0.3748708760028165, 'f': 0.3316965691301596}, 'rouge-2': {'r': 0.1608983611002567, 'p': 0.1698226074647099, 'f': 0.15370050453531986}, 'rouge-l': {'r': 0.3089664976028447, 'p': 0.3443178866301164, 'f': 0.30475810991593344}}"
JavaOnly,29396,FedAvg,5,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 17:53:35.768977', '2024-09-30 18:15:19.471849', '2024-09-30 18:26:13.329504']","['2024-09-30 18:15:03.514286', '2024-09-30 18:25:57.932990', '2024-09-30 18:46:56.798114']",1,3271,0.05513299173421634,0.2874696503953301,"{'rouge-1': {'r': 0.3447997597475287, 'p': 0.3825638259936081, 'f': 0.33985647173279915}, 'rouge-2': {'r': 0.16410729899608142, 'p': 0.17326369816718756, 'f': 0.15689995388565936}, 'rouge-l': {'r': 0.3166909451724705, 'p': 0.35017010203192345, 'f': 0.31141593865584427}}"
JavaOnly,29396,FedAvg,6,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 19:48:24.883177', '2024-09-30 20:10:08.010011', '2024-09-30 20:21:01.755856']","['2024-09-30 20:09:52.392016', '2024-09-30 20:20:46.453686', '2024-09-30 20:41:45.231315']",1,3271,0.05448684155953859,0.2917797068659731,"{'rouge-1': {'r': 0.34809420761311116, 'p': 0.3877507919305426, 'f': 0.3441788252112595}, 'rouge-2': {'r': 0.16648979517014828, 'p': 0.1768535102732136, 'f': 0.1598336591477262}, 'rouge-l': {'r': 0.3197160135586599, 'p': 0.3547337191497158, 'f': 0.31536747679210275}}"
JavaOnly,29396,FedAvg,7,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 21:44:20.666649', '2024-09-30 22:06:04.069282', '2024-09-30 22:16:57.891855']","['2024-09-30 22:05:48.168420', '2024-09-30 22:16:42.477167', '2024-09-30 22:37:41.492779']",1,3271,0.05527488276423971,0.29299494721703057,"{'rouge-1': {'r': 0.35180268987274077, 'p': 0.3898351119540079, 'f': 0.3467674478916548}, 'rouge-2': {'r': 0.16833330578502476, 'p': 0.17734241308141205, 'f': 0.16092396747792514}, 'rouge-l': {'r': 0.3235517965328863, 'p': 0.35760776819750273, 'f': 0.3183253799420398}}"
JavaOnly,29396,FedAvg,8,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 23:40:29.055264', '2024-10-01 00:02:11.946034', '2024-10-01 00:13:06.071552']","['2024-10-01 00:01:56.436125', '2024-10-01 00:12:50.617832', '2024-10-01 00:33:49.545448']",1,3271,0.055793181256594694,0.2901403456426014,"{'rouge-1': {'r': 0.3496008453008717, 'p': 0.38831132600570384, 'f': 0.3447585598304497}, 'rouge-2': {'r': 0.16602483594428788, 'p': 0.176792733367063, 'f': 0.15917099394571582}, 'rouge-l': {'r': 0.3209109801627986, 'p': 0.3557111309349609, 'f': 0.3158867520126258}}"
JavaOnly,29396,FedAvg,9,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 01:36:42.464348', '2024-10-01 01:58:25.554701', '2024-10-01 02:09:19.934301']","['2024-10-01 01:58:09.999325', '2024-10-01 02:09:04.383888', '2024-10-01 02:30:03.498900']",1,3271,0.058610976154648886,0.2910594087464362,"{'rouge-1': {'r': 0.34846491608483343, 'p': 0.39051894235398976, 'f': 0.346159297840478}, 'rouge-2': {'r': 0.16581476660892097, 'p': 0.17926135294971865, 'f': 0.16104936784884918}, 'rouge-l': {'r': 0.32055204268315135, 'p': 0.3585579961084558, 'f': 0.3180022212185892}}"
JavaOnly,29396,FedAvg,10,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 03:30:27.947525', '2024-10-01 03:52:11.085112', '2024-10-01 04:03:05.406197']","['2024-10-01 03:51:55.360118', '2024-10-01 04:02:49.867924', '2024-10-01 04:23:48.919138']",1,3271,0.058390314603242975,0.2909722788321456,"{'rouge-1': {'r': 0.3498622218380936, 'p': 0.3902384882358519, 'f': 0.3449609965959124}, 'rouge-2': {'r': 0.16617951049978222, 'p': 0.17707461789998194, 'f': 0.1595813251371425}, 'rouge-l': {'r': 0.3219529171755207, 'p': 0.3587538986996499, 'f': 0.3171221929910208}}"
JavaOnly,29396,FedAvg,11,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 05:22:49.724770', '2024-10-01 05:44:32.874071', '2024-10-01 05:55:26.758479']","['2024-10-01 05:44:17.113481', '2024-10-01 05:55:11.395196', '2024-10-01 06:16:10.230489']",1,3271,0.05877121172821886,0.2940100748911576,"{'rouge-1': {'r': 0.35055853277166543, 'p': 0.3948166891754199, 'f': 0.3485623377770483}, 'rouge-2': {'r': 0.16566254510937073, 'p': 0.17955431772378028, 'f': 0.16036788907338057}, 'rouge-l': {'r': 0.32260237120662083, 'p': 0.36158710638641, 'f': 0.3197941188108105}}"
JavaOnly,29396,FedAvg,12,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 07:16:50.788051', '2024-10-01 07:38:33.913912', '2024-10-01 07:49:27.616821']","['2024-10-01 07:38:17.974321', '2024-10-01 07:49:12.249270', '2024-10-01 08:10:10.871528']",1,3271,0.05854659853968332,0.29483224978646333,"{'rouge-1': {'r': 0.35245516416271455, 'p': 0.39760513895581767, 'f': 0.3504774134950708}, 'rouge-2': {'r': 0.168730382412508, 'p': 0.1832827101909901, 'f': 0.16342238456531213}, 'rouge-l': {'r': 0.3252061148033284, 'p': 0.3663843002033197, 'f': 0.32301035761796587}}"
JavaOnly,29396,FedAvg,13,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 09:10:46.126667', '2024-10-01 09:32:29.541908', '2024-10-01 09:43:23.375804']","['2024-10-01 09:32:13.787053', '2024-10-01 09:43:07.999765', '2024-10-01 10:04:07.140519']",1,3271,0.061927080334633275,0.29455915475939554,"{'rouge-1': {'r': 0.3523907150191699, 'p': 0.40051285948377024, 'f': 0.3512291980988177}, 'rouge-2': {'r': 0.16940262206835324, 'p': 0.18686729381991918, 'f': 0.16530243519017981}, 'rouge-l': {'r': 0.3244124365920702, 'p': 0.36746597503860146, 'f': 0.32266735911095956}}"
JavaOnly,29396,FedAvg,14,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 11:02:44.464848', '2024-10-01 11:24:27.911990', '2024-10-01 11:35:22.036345']","['2024-10-01 11:24:12.190519', '2024-10-01 11:35:06.715743', '2024-10-01 11:56:05.850896']",1,3271,0.05606018808852613,0.28925259788101393,"{'rouge-1': {'r': 0.34878860205600204, 'p': 0.3929334091208717, 'f': 0.3455653479840636}, 'rouge-2': {'r': 0.16162034380720838, 'p': 0.1795348442832192, 'f': 0.15779336586398493}, 'rouge-l': {'r': 0.32010693863430045, 'p': 0.3599979547719353, 'f': 0.3167815912138996}}"
JavaOnly,29396,FedAvg,15,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 12:56:29.583906', '2024-10-01 13:18:12.906101', '2024-10-01 13:29:06.849338']","['2024-10-01 13:17:57.221643', '2024-10-01 13:28:51.452475', '2024-10-01 13:49:50.299845']",1,3271,0.061333881273325466,0.288681200346885,"{'rouge-1': {'r': 0.34893889313860194, 'p': 0.39374060749585127, 'f': 0.34631117204292194}, 'rouge-2': {'r': 0.1630115963863089, 'p': 0.17880967762853953, 'f': 0.15837547245985412}, 'rouge-l': {'r': 0.32156137662489426, 'p': 0.36216159460409364, 'f': 0.3187393107286453}}"
JavaOnly,29396,FedAvg,16,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 67,108,864 || all params: 3,567,652,864 || trainable%: 1.8810368205150578
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 14:48:21.770381', '2024-10-01 15:10:05.421905', '2024-10-01 15:20:59.094306']","['2024-10-01 15:09:49.501219', '2024-10-01 15:20:43.759168', '2024-10-01 15:41:42.532904']",1,3271,0.06305499699694181,0.29419727821095293,"{'rouge-1': {'r': 0.3526516179232904, 'p': 0.396309127620355, 'f': 0.350706512203158}, 'rouge-2': {'r': 0.16645915211167858, 'p': 0.18228093672037712, 'f': 0.1619002588677174}, 'rouge-l': {'r': 0.3244778964868191, 'p': 0.3633274877289608, 'f': 0.3220142215514782}}"
