Data,Client,project,BaseModelName,EvalDataSize,C-BLEU,METEOR,ROUGE-L
JavaOnly,0,dubbo,codellama/CodeLlama-7b-Instruct-hf,108,2.2059638796477793e-232,0.0046493143868758064,"{'rouge-1': {'r': 0.0025334362139917696, 'p': 0.00024006558716402248, 'f': 0.00043678414598825215}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0025334362139917696, 'p': 0.00024006558716402248, 'f': 0.00043678414598825215}}"
JavaOnly,0,flink,codellama/CodeLlama-7b-Instruct-hf,977,2.514275310028438e-232,0.006977606561477745,"{'rouge-1': {'r': 0.0037898979607336293, 'p': 0.0003832953934608339, 'f': 0.0006880542189887947}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0036968487376946415, 'p': 0.0003757693533620923, 'f': 0.000674128484928538}}"
JavaOnly,1,ExoPlayer,codellama/CodeLlama-7b-Instruct-hf,285,2.506223215830687e-232,0.005726414319267575,"{'rouge-1': {'r': 0.0041929707719181395, 'p': 0.00037721733591442546, 'f': 0.0006794048333006578}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0041929707719181395, 'p': 0.00037721733591442546, 'f': 0.0006794048333006578}}"
JavaOnly,1,dagger,codellama/CodeLlama-7b-Instruct-hf,9,3.812367384024251e-232,0.0155929421988279,"{'rouge-1': {'r': 0.013255360623781676, 'p': 0.00202170576829414, 'f': 0.003504994794819049}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.013255360623781676, 'p': 0.00202170576829414, 'f': 0.003504994794819049}}"
JavaOnly,1,kafka,codellama/CodeLlama-7b-Instruct-hf,327,2.932171294686427e-232,0.007345914339140485,"{'rouge-1': {'r': 0.006682009197334707, 'p': 0.0006620718616430841, 'f': 0.00115815995670338}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.006682009197334707, 'p': 0.0006620718616430841, 'f': 0.00115815995670338}}"
JavaOnly,2,guava,codellama/CodeLlama-7b-Instruct-hf,203,2.176640017898233e-232,0.004166909419629036,"{'rouge-1': {'r': 0.0016612444350781067, 'p': 0.00023087818639516534, 'f': 0.0004039002756591811}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0016612444350781067, 'p': 0.00023087818639516534, 'f': 0.0004039002756591811}}"
JavaOnly,2,spring-framework,codellama/CodeLlama-7b-Instruct-hf,994,1.956748940978798e-232,0.005034482721976938,"{'rouge-1': {'r': 0.0014565660579903932, 'p': 0.0001478897739918596, 'f': 0.0002636937775083979}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0014565660579903932, 'p': 0.0001478897739918596, 'f': 0.0002636937775083979}}"
JavaOnly,2,spring-boot,codellama/CodeLlama-7b-Instruct-hf,161,0,0.005460135278695851,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}"
JavaOnly,2,spring-security,codellama/CodeLlama-7b-Instruct-hf,207,2.1670992298651775e-232,0.005026593717864688,"{'rouge-1': {'r': 0.001896282941286755, 'p': 0.00022740240787047264, 'f': 0.0004005863766962125}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.001896282941286755, 'p': 0.00022740240787047264, 'f': 0.0004005863766962125}}"
JavaOnly,Fed,dubbo,codellama/CodeLlama-7b-Instruct-hf,108,2.3373026882079185e-232,0.011017328481480182,"{'rouge-1': {'r': 0.003350970017636684, 'p': 0.0003055509405339204, 'f': 0.0005436184769801237}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.003350970017636684, 'p': 0.0003055509405339204, 'f': 0.0005436184769801237}}"
JavaOnly,Fed,flink,codellama/CodeLlama-7b-Instruct-hf,977,2.3332702932752187e-232,0.008356443626834898,"{'rouge-1': {'r': 0.003392559601542683, 'p': 0.0002876470809636953, 'f': 0.0005268021329168645}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.003392559601542683, 'p': 0.0002876470809636953, 'f': 0.0005268021329168645}}"
JavaOnly,Fed@BEST (12),dubbo,codellama/CodeLlama-7b-Instruct-hf,108,0.01788937177891683,0.19411162409731245,"{'rouge-1': {'r': 0.27123637054730093, 'p': 0.2750692979859646, 'f': 0.24551899022245044}, 'rouge-2': {'r': 0.1025147640425418, 'p': 0.09250137722359944, 'f': 0.08970820142809345}, 'rouge-l': {'r': 0.25133792295277496, 'p': 0.2551768190657079, 'f': 0.22739501734099574}}"
JavaOnly,Fed@BEST (12),flink,codellama/CodeLlama-7b-Instruct-hf,977,0.025233659658498286,0.23836497237545162,"{'rouge-1': {'r': 0.2948488825455999, 'p': 0.3114231057408445, 'f': 0.28281892252521945}, 'rouge-2': {'r': 0.12997188764778156, 'p': 0.12322297795158427, 'f': 0.11798301212846359}, 'rouge-l': {'r': 0.2648759221287793, 'p': 0.27775682009631975, 'f': 0.2526552425019775}}"
JavaOnly,Fed@BEST (12),ExoPlayer,codellama/CodeLlama-7b-Instruct-hf,285,0.01879274130118213,0.21619855484602393,"{'rouge-1': {'r': 0.27046261726736887, 'p': 0.30898245224652754, 'f': 0.2599390926292899}, 'rouge-2': {'r': 0.11434564241358736, 'p': 0.11452562663907079, 'f': 0.10462799251302973}, 'rouge-l': {'r': 0.2438194223181402, 'p': 0.28173589718461883, 'f': 0.23480825398336888}}"
JavaOnly,Fed@BEST (12),dagger,codellama/CodeLlama-7b-Instruct-hf,9,5.60385509849832e-79,0.1439541585789121,"{'rouge-1': {'r': 0.2081592871066555, 'p': 0.2759820426487093, 'f': 0.2133428077805673}, 'rouge-2': {'r': 0.05444298052993705, 'p': 0.11296296296296296, 'f': 0.06109597688784438}, 'rouge-l': {'r': 0.20022277917014758, 'p': 0.26857463524130193, 'f': 0.20567997253152515}}"
JavaOnly,Fed@BEST (12),kafka,codellama/CodeLlama-7b-Instruct-hf,327,0.032071050835182704,0.2165973577560018,"{'rouge-1': {'r': 0.28363931615407606, 'p': 0.3251062645406215, 'f': 0.283877826260751}, 'rouge-2': {'r': 0.11490881500882248, 'p': 0.1249372494721585, 'f': 0.11045208951433211}, 'rouge-l': {'r': 0.25411341719793173, 'p': 0.2896735555457185, 'f': 0.2535448911488663}}"
