Function,Generated,Ground Truth
"public static <T> CompletableFuture<T> retry(
        final Supplier<CompletableFuture<T>> operation,
        final int retries,
        final Predicate<Throwable> retryPredicate,
        final Executor executor) {

    final CompletableFuture<T> resultFuture = new CompletableFuture<>();

    retryOperation(resultFuture, operation, retries, retryPredicate, executor);

    return resultFuture;
}","
    
    retry the operation operation retries times executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor executor",retry the given operation the given number of times in case of a failure only when an exception is retryable
"private Operation convertShowCurrentDatabase(SqlShowCurrentDatabase sqlShowCurrentDatabase) {
    return new ShowCurrentDatabaseOperation();
}",1 convert show current database to operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation operation,convert show current database statement
"private static <UK, UV, K, N> Map<UK, UV> getSerializedMap(
        InternalKvState<K, N, Map<UK, UV>> kvState,
        K key,
        TypeSerializer<K> keySerializer,
        N namespace,
        TypeSerializer<N> namespaceSerializer,
        TypeSerializer<UK> userKeySerializer,
        TypeSerializer<UV> userValueSerializer)
        throws Exception {

    byte[] serializedKeyAndNamespace =
            KvStateSerializer.serializeKeyAndNamespace(
                    key, keySerializer, namespace, namespaceSerializer);

    byte[] serializedValue =
            kvState.getSerializedValue(
                    serializedKeyAndNamespace,
                    kvState.getKeySerializer(),
                    kvState.getNamespaceSerializer(),
                    kvState.getValueSerializer());

    if (serializedValue == null) {
        return null;
    } else {
        return KvStateSerializer.deserializeMap(
                serializedValue, userKeySerializer, userValueSerializer);
    }
}",1 query the state for the given key and namespace and deserialize the result to a map,returns the value by getting the serialized value and deserializing it if it is not null
"public static void mergeWindows(
        Collection<TimeWindow> windows, MergingWindowAssigner.MergeCallback<TimeWindow> c) {

        

    List<TimeWindow> sortedWindows = new ArrayList<>(windows);

    Collections.sort(
            sortedWindows,
            new Comparator<TimeWindow>() {
                @Override
                public int compare(TimeWindow o1, TimeWindow o2) {
                    return Long.compare(o1.getStart(), o2.getStart());
                }
            });

    List<Tuple2<TimeWindow, Set<TimeWindow>>> merged = new ArrayList<>();
    Tuple2<TimeWindow, Set<TimeWindow>> currentMerge = null;

    for (TimeWindow candidate : sortedWindows) {
        if (currentMerge == null) {
            currentMerge = new Tuple2<>();
            currentMerge.f0 = candidate;
            currentMerge.f1 = new HashSet<>();
            currentMerge.f1.add(candidate);
        } else if (currentMerge.f0.intersects(candidate)) {
            currentMerge.f0 = currentMerge.f0.cover(candidate);
            currentMerge.f1.add(candidate);
        } else {
            merged.add(currentMerge);
            currentMerge = new Tuple2<>();
            currentMerge.f0 = candidate;
            currentMerge.f1 = new HashSet<>();
            currentMerge.f1.add(candidate);
        }
    }

    if (currentMerge != null) {
        merged.add(currentMerge);
    }

    for (Tuple2<TimeWindow, Set<TimeWindow>> m : merged) {
        if (m.f1.size() > 1) {
            c.merge(m.f1, m.f0);
        }
    }
}","
    merges windows that are overlapping and calls the merge callback for each merged window",merge overlapping time window s
"public String getJsonPlan() {
    return tableEnvironment.getJsonPlan(operations);
}",1 get the json plan for the operations,get the json plan of the all statements and tables as a batch
"private static LinkedHashMap<String, KryoRegistration> buildKryoRegistrations(
        Class<?> serializedType,
        LinkedHashSet<Class<?>> registeredTypes,
        LinkedHashMap<Class<?>, Class<? extends Serializer<?>>>
                registeredTypesWithSerializerClasses,
        LinkedHashMap<Class<?>, ExecutionConfig.SerializableSerializer<?>>
                registeredTypesWithSerializers) {

    final LinkedHashMap<String, KryoRegistration> kryoRegistrations = new LinkedHashMap<>();

    kryoRegistrations.put(serializedType.getName(), new KryoRegistration(serializedType));

    for (Class<?> registeredType : checkNotNull(registeredTypes)) {
        kryoRegistrations.put(registeredType.getName(), new KryoRegistration(registeredType));
    }

    for (Map.Entry<Class<?>, Class<? extends Serializer<?>>>
            registeredTypeWithSerializerClassEntry :
                    checkNotNull(registeredTypesWithSerializerClasses).entrySet()) {

        kryoRegistrations.put(
                registeredTypeWithSerializerClassEntry.getKey().getName(),
                new KryoRegistration(
                        registeredTypeWithSerializerClassEntry.getKey(),
                        registeredTypeWithSerializerClassEntry.getValue()));
    }

    for (Map.Entry<Class<?>, ExecutionConfig.SerializableSerializer<?>>
            registeredTypeWithSerializerEntry :
                    checkNotNull(registeredTypesWithSerializers).entrySet()) {

        kryoRegistrations.put(
                registeredTypeWithSerializerEntry.getKey().getName(),
                new KryoRegistration(
                        registeredTypeWithSerializerEntry.getKey(),
                        registeredTypeWithSerializerEntry.getValue()));
    }

        
    AvroUtils.getAvroUtils().addAvroGenericDataArrayRegistration(kryoRegistrations);

    return kryoRegistrations;
}","1
    build kryo registrations for the given serialized type and registered types",utility method that takes lists of registered types and their serializers and resolve them into a single list such that the result will resemble the final registration result in kryo
"public void testCopyOnWriteContracts() {
    final CopyOnWriteStateMap<Integer, Integer, ArrayList<Integer>> stateMap =
            new CopyOnWriteStateMap<>(new ArrayListSerializer<>(IntSerializer.INSTANCE));

    ArrayList<Integer> originalState1 = new ArrayList<>(1);
    ArrayList<Integer> originalState2 = new ArrayList<>(1);
    ArrayList<Integer> originalState3 = new ArrayList<>(1);
    ArrayList<Integer> originalState4 = new ArrayList<>(1);
    ArrayList<Integer> originalState5 = new ArrayList<>(1);

    originalState1.add(1);
    originalState2.add(2);
    originalState3.add(3);
    originalState4.add(4);
    originalState5.add(5);

    stateMap.put(1, 1, originalState1);
    stateMap.put(2, 1, originalState2);
    stateMap.put(4, 1, originalState4);
    stateMap.put(5, 1, originalState5);

        
    Assert.assertSame(stateMap.get(1, 1), originalState1);
    CopyOnWriteStateMapSnapshot<Integer, Integer, ArrayList<Integer>> snapshot1 =
            stateMap.stateSnapshot();
        
    final ArrayList<Integer> copyState = stateMap.get(1, 1);
    Assert.assertNotSame(copyState, originalState1);
        
    Assert.assertEquals(originalState1, copyState);

        
    stateMap.put(3, 1, originalState3);

        
    Assert.assertSame(copyState, stateMap.get(1, 1));

        
    CopyOnWriteStateMapSnapshot<Integer, Integer, ArrayList<Integer>> snapshot2 =
            stateMap.stateSnapshot();
        
    Assert.assertNotSame(copyState, stateMap.get(1, 1));
        
    Assert.assertEquals(copyState, stateMap.get(1, 1));

        
    stateMap.releaseSnapshot(snapshot2);
        
    Assert.assertSame(originalState3, stateMap.get(3, 1));
        
    Assert.assertNotSame(originalState4, stateMap.get(4, 1));

        
    stateMap.releaseSnapshot(snapshot1);
        
    Assert.assertSame(originalState5, stateMap.get(5, 1));
}","
    tests the copy on write contracts of the copy on write state map",this tests for the copy on write contracts e
"public SingleOutputStreamOperator<T> sum(String field) {
    return aggregate(new SumAggregator<>(field, input.getType(), input.getExecutionConfig()));
}",1 sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggregates all elements using a simple sum aggregator sum aggreg,applies an aggregation that sums every window of the pojo data stream at the given field for every window
"public Integer getRequestedHeartbeat() {
    return requestedHeartbeat;
}","0 the heartbeat is not requested to be changed from the server default
















































































































































































































































",retrieve the requested heartbeat interval
"public static TumblingSliceAssigner tumbling(
        int rowtimeIndex, ZoneId shiftTimeZone, Duration size) {
    return new TumblingSliceAssigner(rowtimeIndex, shiftTimeZone, size.toMillis(), 0);
}","1 create a tumbling slice assigner with the given parameters


### Method:
tumbling slice assigner with the given parameters
### Signature:
static tumbling slice assigner with the given parameters
### Signature:
public static tumbling slice assigner with the given parameters
### Signature:
public static tumbling slice assigner with the given parameters
### Signature:
public static tumbling slice assigner with the given parameters
### Signature:
public static tumbling slice assigner with the given parameters
### Signature:
public static tumbling slice assigner with the given parameters
### Signature:
public static tumbling slice assigner with the given parameters
### Signature:
public static tumbling slice assigner with the given parameters
### Signature:
public static tumbling slice assigner with the given parameters
### Signature:
public static tumbling slice assigner with the given parameters
### Signature:
public static tumbling slice assigner with the given parameters
### Signature:
public static tumbling slice assigner with the",creates a tumbling window slice assigner that assigns elements to slices of tumbling windows
